天智天皇	天智
持統天皇
柿本人麻呂	人麻呂	かきのもとのひとまろ
山部赤人	山部のあかひと
猿丸大夫	さる丸那優
中納言家持	家持	中納言やかもち	やかもち
安倍仲麿	あべのなかまろ
喜撰法師	汽船奉仕
小野小町	小町
蝉丸
参議篁
僧正遍照	相乗を返上
陽成院	よーゼイン	ようぜいん	よー全員	様でいいん
河原左大臣	川原の差だいじん	変わらなさだいじん
光孝天皇	こうこう天皇
中納言行平	雪平	中納言雪平
在原業平朝臣	在原業平	在原業平遊ん
藤原敏行朝臣	藤原のとしゆき
伊勢
元良親王	本吉氏んの
素性法師	女性奉仕
文屋康秀	やすひで
大江千里	千里
菅家	関係
三条右大臣	3乗の大臣	3乗
貞信公	てー進行	てー真子
中納言兼輔	かねすけ
源宗于朝臣	源のむねゆき
凡河内躬恒	オオシコウチ
壬生忠岑	ただみね	ただ味ね
坂上是則	坂の上	これのり
春道列樹	春道
紀友則	紀友矩	とものり
藤原興風	藤原の聴かせ
紀貫之	きのつらゆき
清原深養父	深破
文屋朝康	朝安
右近	ウコン
参議等	三均
平兼盛	兼盛	鐘守	金森
壬生忠見	只見
清原元輔	清原元助	清原の素助
権中納言敦忠	敦忠	熱田だ
中納言朝忠	朝忠	麻惟
謙徳公	険悳子
曾禰好忠	よしただ	染めの
恵慶法師	営業奉仕
源重之	源の成行
大中臣能宣	オオナカトミ	由伸
藤原義孝	藤原ノヨシタカ	吉高
藤原実方朝臣	藤原の下げかた	サネカタ
藤原道信朝臣	藤原の道の部	道の部
右大将道綱母	ミチツナの母
儀同三司母	移動3 4の母	ギドさんしの母
大納言公任	大納言均等
和泉式部	泉式部
紫式部
大弐三位	第二の酸味
赤染衛門	赤染めも
小式部内侍	古式部内誌
伊勢大輔	異性のタイプ
清少納言
左京大夫道雅	最強のダイブみちまさ	みちまさ
権中納言定頼	さだより
相模
前大僧正行尊	量産
周防内侍	蘇芳のない詩
三条院	山上院
能因法師	納品方式	のいん奉仕
良暹法師	良善法師
大納言経信	ツネノブ
祐子内親王家紀伊	ゆうし内心の県の木
権中納言匡房	マサフサ
源俊頼朝臣	源の年寄り
藤原基俊	藤原のも一昨年
法性寺入道前関白太政大臣
崇徳院	stock in
源兼昌	源のかねまさ
左京大夫顕輔	あきすけ
待賢門院堀河	大剣も院の堀川
後徳大寺左大臣	ごとく大字の差だいじん
道因法師	動員法4
皇太后宮大夫俊成	交代後食うのだいぶ歳也
藤原清輔朝臣	藤原のキヨスケ
俊恵法師	しゅうへ奉仕
西行法師	採用方針	帯状疱疹
寂蓮法師	弱連法師
皇嘉門院別当	光化門の弁当
式子内親王	食し内親王
殷富門院大輔	インプもいんの
後京極摂政前太政大臣	後京極折衝先のだいじょうだいじん
二条院讃岐	ニジョウインの
鎌倉右大臣	鎌倉の大臣
参議雅経	まさつね	参議摩擦ね
前大僧正慈円	自演
入道前太政大臣	入道埼のだいじょうだいじん
権中納言定家	昆虫な誤差だいえ	貞家
従二位家隆	いえたか
後鳥羽院	乙葉員
順徳院	潤徳院
